timestamp,lat,lon,speed,altitude_gps,heading,altitude_baro,gnss_fix_valid,gnss_fix_age_ms,gnss_satellites,gnss_satellites_age_ms,gnss_hdop,gnss_hdop_age_ms
2026-09-25T14:50:24.000Z,51.037932,17.043793,2.6,0.0,231,63.8,1,13,5,103,1.37,103
2026-09-25T14:50:25.000Z,51.037937,17.043792,0.5,144.5,231,63.6,1,12,12,741,0.79,741
2026-09-25T14:50:26.000Z,51.037963,17.043834,0.1,143.8,231,63.8,1,13,12,718,0.69,718
2026-09-25T14:50:27.000Z,51.037968,17.043845,0.2,143.3,231,64.6,1,14,12,727,0.57,727
2026-09-25T14:50:44.000Z,51.037958,17.043819,0.4,142.0,231,63.1,1,13,12,16327,0.57,16327
2026-09-25T14:50:46.000Z,51.037959,17.043821,0.0,137.8,231,62.9,1,13,12,2001,0.57,2001
2026-09-25T14:50:48.000Z,51.037960,17.043822,0.0,137.8,231,63.2,1,13,12,1994,0.57,1994
2026-09-25T14:50:50.000Z,51.037961,17.043824,0.0,138.0,231,63.0,1,13,12,2000,0.57,2000
2026-09-25T14:50:52.000Z,51.037961,17.043827,0.0,138.0,231,63.1,1,13,12,1994,0.57,1994
2026-09-25T14:50:54.000Z,51.037953,17.043837,3.5,138.1,155,63.2,1,13,12,1999,0.57,1999
2026-09-25T14:50:56.000Z,51.037903,17.043867,15.7,137.8,161,64.0,1,13,12,1994,0.57,1994
2026-09-25T14:50:58.000Z,51.037768,17.043895,34.9,137.8,176,64.5,1,77,12,2063,0.57,2063
2026-09-25T14:51:00.000Z,51.037549,17.043919,49.8,137.8,177,64.3,1,14,12,3998,0.57,3998
2026-09-25T14:51:01.000Z,51.037418,17.043935,54.7,138.2,176,64.3,1,77,12,1045,0.57,1045
2026-09-25T14:51:02.000Z,51.037274,17.043951,59.8,138.2,176,64.6,1,13,12,1997,0.57,1997
2026-09-25T14:51:02.349Z,51.037218,17.043958,60.9,137.6,177,64.3,1,13,12,346,0.57,346
2026-09-25T14:51:02.682Z,51.037168,17.043964,61.6,137.4,176,64.6,1,13,12,330,0.57,330
2026-09-25T14:51:03.000Z,51.037117,17.043970,61.8,137.2,176,64.0,1,13,12,331,0.57,331
2026-09-25T14:51:03.334Z,51.037066,17.043976,62.2,137.1,176,64.9,1,14,12,331,0.57,331
2026-09-25T14:51:03.669Z,51.037014,17.043982,62.4,137.1,176,64.9,1,14,12,332,0.57,332
2026-09-25T14:51:04.000Z,51.036963,17.043988,62.4,137.0,176,63.9,1,13,12,344,0.57,344
2026-09-25T14:51:04.317Z,51.036912,17.043995,62.0,137.0,176,64.1,1,13,12,314,0.57,314
2026-09-25T14:51:04.652Z,51.036861,17.044001,61.7,136.9,176,64.3,1,14,12,332,0.57,332
2026-09-25T14:51:05.000Z,51.036810,17.044006,61.3,137.0,176,64.0,1,13,12,327,0.57,327
2026-09-25T14:51:05.335Z,51.036760,17.044012,60.8,137.0,176,64.0,1,13,12,332,0.57,332
2026-09-25T14:51:05.666Z,51.036710,17.044018,60.4,137.0,176,63.6,1,13,12,328,0.57,328
2026-09-25T14:51:06.000Z,51.036660,17.044023,60.0,137.0,176,64.0,1,14,12,334,0.57,334
2026-09-25T14:51:06.330Z,51.036611,17.044029,59.5,137.0,176,64.0,1,13,12,327,0.57,327
2026-09-25T14:51:06.661Z,51.036561,17.044034,59.2,137.0,176,63.7,1,13,12,328,0.57,328
2026-09-25T14:51:07.000Z,51.036513,17.044040,58.7,137.0,176,63.5,1,14,12,333,0.57,333
2026-09-25T14:51:07.332Z,51.036465,17.044045,58.2,137.0,176,63.5,1,13,12,329,0.57,329
2026-09-25T14:51:07.665Z,51.036417,17.044051,57.4,136.9,176,62.9,1,14,12,330,0.57,330
2026-09-25T14:51:08.000Z,51.036370,17.044056,55.9,136.9,176,63.2,1,13,12,327,0.57,327
2026-09-25T14:51:08.335Z,51.036325,17.044062,54.3,136.9,176,62.7,1,13,12,332,0.57,332
2026-09-25T14:51:08.668Z,51.036282,17.044066,52.6,136.9,176,62.1,1,13,12,330,0.57,330
2026-09-25T14:51:09.000Z,51.036240,17.044071,50.6,136.9,176,63.0,1,14,12,330,0.57,330
2026-09-25T14:51:09.330Z,51.036200,17.044075,48.4,136.9,177,62.7,1,13,12,327,0.57,327
2026-09-25T14:51:09.731Z,51.036162,17.044079,46.1,136.9,177,62.1,1,78,12,398,0.57,398
2026-09-25T14:51:10.000Z,51.036126,17.044081,43.4,136.9,178,62.4,1,13,12,668,0.57,668
2026-09-25T14:51:10.332Z,51.036092,17.044082,40.4,137.0,180,61.5,1,13,12,329,0.57,329
2026-09-25T14:51:11.000Z,51.036034,17.044079,34.7,137.0,182,62.2,1,13,12,639,0.57,639
2026-09-25T14:51:12.000Z,51.035956,17.044062,30.4,137.0,191,61.9,1,13,12,996,0.57,996
2026-09-25T14:51:13.000Z,51.035891,17.044005,30.4,136.9,216,62.7,1,13,12,998,0.57,998
2026-09-25T14:51:14.000Z,51.035834,17.043916,32.9,136.9,227,61.8,1,13,12,996,0.57,996
2026-09-25T14:51:15.000Z,51.035763,17.043851,33.5,136.8,203,62.1,1,13,12,997,0.57,997
2026-09-25T14:51:16.000Z,51.035680,17.043845,33.9,136.8,174,61.3,1,13,12,997,0.57,997
2026-09-25T14:51:17.000Z,51.035607,17.043906,34.4,136.9,144,61.9,1,13,12,997,0.57,997
2026-09-25T14:51:18.000Z,51.035564,17.044016,33.4,136.7,113,61.8,1,13,12,997,0.59,997
2026-09-25T14:51:19.000Z,51.035561,17.044148,35.3,136.6,85,61.6,1,13,12,998,0.57,998
2026-09-25T14:51:20.000Z,51.035601,17.044265,34.3,136.3,53,61.9,1,13,12,996,0.57,996
2026-09-25T14:51:21.000Z,51.035674,17.044329,34.1,136.4,20,62.0,1,13,12,994,0.57,994
2026-09-25T14:51:22.000Z,51.035762,17.044321,37.0,136.3,349,62.1,1,13,12,999,0.60,999
2026-09-25T14:51:23.000Z,51.035849,17.044250,40.1,135.8,328,62.1,1,13,12,1007,0.60,1007
2026-09-25T14:51:24.000Z,51.035941,17.044183,40.8,135.5,339,62.5,1,13,12,988,0.57,988
2026-09-25T14:51:25.000Z,51.036049,17.044147,44.7,136.0,352,63.5,1,13,12,13,0.57,13
2026-09-25T14:51:26.000Z,51.036164,17.044126,46.5,136.0,355,62.6,1,13,12,1001,0.57,1001
2026-09-25T14:51:27.000Z,51.036282,17.044112,47.7,136.1,356,63.4,1,13,12,998,0.57,998
2026-09-25T14:51:28.000Z,51.036402,17.044099,47.9,136.2,356,63.2,1,13,12,996,0.57,996
2026-09-25T14:51:29.000Z,51.036523,17.044086,48.5,136.3,356,63.6,1,14,12,998,0.57,998
2026-09-25T14:51:30.000Z,51.036646,17.044073,49.2,136.4,356,63.4,1,14,12,997,0.57,997
2026-09-25T14:51:31.000Z,51.036770,17.044059,50.1,136.5,356,64.0,1,13,12,995,0.57,995
2026-09-25T14:51:32.000Z,51.036896,17.044045,50.2,136.8,356,63.6,1,13,12,999,0.57,999
2026-09-25T14:51:33.000Z,51.037019,17.044034,48.8,137.0,357,64.5,1,13,12,997,0.57,997
2026-09-25T14:51:34.000Z,51.037139,17.044022,47.4,137.1,357,64.1,1,13,12,993,0.57,993
2026-09-25T14:51:35.000Z,51.037255,17.044010,45.9,137.1,357,64.4,1,14,12,1000,0.57,1000
2026-09-25T14:51:36.000Z,51.037367,17.044000,44.5,137.3,357,64.0,1,13,12,996,0.57,996
2026-09-25T14:51:37.000Z,51.037476,17.043989,43.2,137.3,357,63.7,1,13,12,1000,0.57,1000
2026-09-25T14:51:38.000Z,51.037582,17.043979,42.1,137.4,356,64.3,1,13,12,995,0.57,995
2026-09-25T14:51:39.000Z,51.037683,17.043968,39.8,137.4,356,63.7,1,13,12,998,0.57,998
2026-09-25T14:51:40.000Z,51.037774,17.043957,34.9,137.4,356,63.2,1,13,12,997,0.57,997
2026-09-25T14:51:41.000Z,51.037855,17.043948,30.7,137.4,356,63.5,1,13,12,995,0.57,995
2026-09-25T14:51:42.000Z,51.037931,17.043942,30.1,137.4,357,63.9,1,13,12,998,0.57,998
2026-09-25T14:51:43.000Z,51.038015,17.043948,34.4,137.4,5,64.4,1,14,12,998,0.57,998
2026-09-25T14:51:44.000Z,51.038112,17.043960,40.0,137.4,5,64.5,1,13,12,997,0.57,997
2026-09-25T14:51:45.000Z,51.038210,17.043966,38.9,137.4,1,63.4,1,13,12,996,0.57,996
2026-09-25T14:51:46.000Z,51.038301,17.043987,35.9,137.3,12,64.5,1,14,12,997,0.57,997
2026-09-25T14:51:47.000Z,51.038383,17.044058,38.9,137.4,35,64.6,1,14,12,996,0.57,996
2026-09-25T14:51:48.000Z,51.038466,17.044167,44.6,137.8,41,64.8,1,14,12,998,0.57,998
2026-09-25T14:51:49.000Z,51.038559,17.044277,47.7,137.6,35,64.3,1,14,12,998,0.57,998
2026-09-25T14:51:50.000Z,51.038639,17.044418,48.7,137.9,53,65.2,1,13,12,995,0.57,995
2026-09-25T14:51:51.000Z,51.038697,17.044599,52.5,137.9,67,65.1,1,13,12,997,0.57,997
2026-09-25T14:51:52.000Z,51.038753,17.044805,58.1,137.8,67,65.7,1,78,12,1063,0.57,1063
2026-09-25T14:51:53.000Z,51.038820,17.045026,63.4,137.8,64,66.0,1,13,12,1998,0.57,1998
2026-09-25T14:51:53.316Z,51.038844,17.045097,64.8,137.5,62,66.1,1,13,12,313,0.57,313
2026-09-25T14:51:53.647Z,51.038871,17.045172,65.9,137.5,60,65.3,1,13,12,328,0.57,328
2026-09-25T14:51:53.980Z,51.038898,17.045247,66.3,137.5,59,65.2,1,13,12,330,0.57,330
2026-09-25T14:51:54.000Z,51.038928,17.045322,66.8,137.4,58,65.9,1,13,12,332,0.57,332
2026-09-25T14:51:54.333Z,51.038959,17.045395,67.3,137.4,57,65.3,1,14,12,330,0.57,330
2026-09-25T14:51:54.668Z,51.038991,17.045469,67.9,137.3,56,65.9,1,13,12,332,0.57,332
2026-09-25T14:51:55.000Z,51.039024,17.045543,68.6,137.3,55,65.2,1,13,12,328,0.57,328
2026-09-25T14:51:55.332Z,51.039057,17.045617,69.0,137.3,54,65.0,1,14,12,329,0.57,329
2026-09-25T14:51:55.666Z,51.039091,17.045691,69.5,137.3,54,65.3,1,14,12,331,0.57,331
2026-09-25T14:51:56.000Z,51.039125,17.045766,69.7,137.2,54,65.3,1,13,12,329,0.57,329
2026-09-25T14:51:56.332Z,51.039159,17.045841,69.7,137.2,55,65.4,1,13,12,329,0.57,329
2026-09-25T14:51:56.668Z,51.039195,17.045915,70.5,137.2,54,65.5,1,13,12,333,0.57,333
2026-09-25T14:51:57.000Z,51.039231,17.045990,70.5,137.0,53,65.3,1,13,12,327,0.57,327
2026-09-25T14:51:57.335Z,51.039265,17.046065,70.4,137.0,53,65.3,1,13,12,332,0.57,332
2026-09-25T14:51:57.670Z,51.039300,17.046140,70.4,137.1,54,65.3,1,13,12,332,0.57,332
2026-09-25T14:51:58.000Z,51.039334,17.046215,70.5,137.2,55,65.6,1,13,12,328,0.57,328
2026-09-25T14:51:58.334Z,51.039369,17.046290,70.7,137.2,56,65.5,1,13,12,331,0.57,331
2026-09-25T14:51:58.665Z,51.039403,17.046366,70.8,137.1,56,65.7,1,14,12,328,0.60,328
2026-09-25T14:51:59.000Z,51.039436,17.046443,71.0,137.2,56,65.6,1,13,12,331,0.60,331
2026-09-25T14:51:59.332Z,51.039469,17.046521,71.5,137.4,57,65.2,1,13,12,329,0.60,329
2026-09-25T14:51:59.665Z,51.039502,17.046600,71.8,137.4,57,66.3,1,13,12,330,0.60,330
2026-09-25T14:52:00.000Z,51.039535,17.046680,72.2,137.4,58,66.0,1,14,12,332,0.60,332
2026-09-25T14:52:00.335Z,51.039568,17.046761,72.7,137.5,58,65.6,1,14,12,332,0.60,332
2026-09-25T14:52:00.730Z,51.039601,17.046843,73.6,137.5,58,66.6,1,78,12,392,0.57,392
2026-09-25T14:52:01.000Z,51.039634,17.046926,74.9,137.5,58,66.4,1,14,12,659,0.57,659
2026-09-25T14:52:01.236Z,51.039659,17.046987,77.0,137.6,58,66.4,1,14,12,233,0.57,233
2026-09-25T14:52:01.402Z,51.039676,17.047030,77.9,137.7,58,67.0,1,13,12,163,0.57,163
2026-09-25T14:52:01.567Z,51.039694,17.047074,78.7,137.7,58,67.1,1,13,12,162,0.57,162
2026-09-25T14:52:02.000Z,51.039712,17.047118,79.6,137.8,58,66.5,1,13,12,166,0.57,166
2026-09-25T14:52:02.164Z,51.039730,17.047163,80.6,137.8,58,66.7,1,14,12,161,0.57,161
2026-09-25T14:52:02.329Z,51.039748,17.047209,82.1,137.9,58,67.4,1,14,12,162,0.57,162
2026-09-25T14:52:02.560Z,51.039766,17.047255,83.7,137.9,58,67.3,1,78,12,228,0.57,228
2026-09-25T14:52:02.662Z,51.039786,17.047303,85.4,137.9,58,67.7,1,14,12,330,0.57,330
2026-09-25T14:52:02.758Z,51.039797,17.047331,86.5,137.9,58,68.4,1,14,12,93,0.57,93
2026-09-25T14:52:02.858Z,51.039808,17.047361,87.5,137.9,58,68.4,1,14,12,97,0.57,97
2026-09-25T14:52:03.000Z,51.039820,17.047391,88.7,137.9,58,67.5,1,14,12,98,0.57,98
2026-09-25T14:52:03.099Z,51.039832,17.047421,89.8,137.9,58,68.8,1,13,12,96,0.57,96
2026-09-25T14:52:03.199Z,51.039844,17.047452,90.6,137.9,58,68.2,1,13,12,97,0.57,97
